"figure","panel","quantity","value"
"data","","iSNV calls","159"
"data","","samples","83"
"data","","transmission pairs in metadata","132"
"fig1","a","concordant calls (|freq diff| <= 0.02)","106"
"fig1","a","discordant calls","53"
"fig1","a","percentage of calls discordant","33.3333333333333"
"fig1","a","replicate R2","0.948294163921397"
"fig1","a","replicate R2 below 10% mean frequency","0.153035990941919"
"fig1","a","median absolute replicate difference (percentage points)","1.1111"
"fig1","b","median pi naive (x1e-4)","0.0960666338245458"
"fig1","b","median pi QC (x1e-4)","0.0376335751753221"
"fig1","b","samples in which QC lowered pi","38"
"fig1","b","median fall in pi among the samples QC lowered (%)","88.0241074056429"
"fig1","b","samples in which QC removed every call","18"
"fig1","b","samples","83"
"fig2","","distinct variants","146"
"fig2","","discordant calls below 10% mean frequency","18"
"fig2","","concordant calls below 10% mean frequency","62"
"fig2","","percentage of discordant calls below 10%","33.9622641509434"
"fig2","","percentage of concordant calls below 10%","58.4905660377358"
"fig3","a","samples with depth","188"
"fig3","a","median mean read depth","2032.62599906364"
"fig3","c","iSNV calls in the recipient of the example pair","2"
"fig3","c","example pair","HH17_K"
"fig3","c","donor iSNVs in the example pair","3"
"fig3","c","donor iSNVs not detected in the recipient","3"
"fig3","d","pairs with at least one concordant donor iSNV","52"
"fig3","d","pairs sharing no donor iSNV","47"
"fig3","d","percentage sharing none","90.3846153846154"
"fig3","d","pairs whose recipient has no iSNV call at all","26"
"fig4","","indel rows dropped before QC","909"
"fig4","","substitution rows kept","1252"
"fig4","","saliva samples in the source data","9"
"fig4","","samples analysed (mean coverage >= 1000x)","6"
"fig4","","days of infection analysed","1, 2, 3, 4, 7, 8"
"fig4","a","peak QC-passed iSNVs","141"
"fig4","a","day of peak iSNV count","8"
"fig4","a","day of maximum pi","8"
"fig4","b","variants with trajectories shown","10"
"fig4","c","days shown","1, 8"
"fig4","d","persistent sites (>= 2 timepoints)","6"
"fig4","d","transient sites (1 timepoint)","288"
"fig4","d","variant sites classified","294"
"fig4","d","percentage transient","97.9591836734694"
"fig5","a","samples with >= 1 concordant iSNV","65"
"fig5","a","median Tajima D (QC, n capped at 100)","-0.568379751379336"
"fig5","a","percentage of samples with D < 0","64.6153846153846"
"fig5","a","samples resting on a single concordant call","41"
"fig5","a","percentage resting on a single concordant call","63.0769230769231"
"fig5","a","samples with at least three concordant calls","10"
"fig5","b","pooled synonymous iSNVs","49"
"fig5","b","pooled nonsynonymous iSNVs","50"
"fig5","b","pooled dN/dS (Jukes-Cantor)","0.285691701876935"
"fig5","b","concordant iSNVs outside CDS or unannotated","7"
"fig5","b","dN/dS E (0N/1S)","0"
"fig5","b","dN/dS N (7N/4S)","0.517790556080871"
"fig5","b","dN/dS ORF10 (1N/1S)","0.261127788788359"
"fig5","b","dN/dS ORF1ab (32N/33S)","0.268960190930837"
"fig5","b","dN/dS ORF3a (2N/1S)","0.571873297502733"
"fig5","b","dN/dS ORF6 (1N/1S)","0.238609144137489"
"fig5","b","dN/dS ORF7a (4N/2S)","0.595147119791834"
"fig5","b","dN/dS ORF8 (1N/3S)","0.0866148336239574"
"fig5","b","dN/dS S (2N/3S)","0.189439490878973"
"fig5","b","genes shown","8"
"fig5","b","genes omitted (one call or no synonymous call)","1"
"fig5","d","bins the bias correction changed","0"
"fig6","a","samples with finite D before and after QC","65"
"fig6","a","samples excluded because QC left no call","18"
"fig6","a","samples whose D changed under QC","20"
"fig6","a","median Tajima D naive","-0.351161099963346"
"fig6","a","median Tajima D QC","-0.568379751379336"
"fig6","a","median paired change in D (QC minus naive)","0"
"fig6","a","95% CI lower (order statistics)","0"
"fig6","a","95% CI upper (order statistics)","0"
"fig6","a","median change in D among samples QC altered","-0.226931207998161"
"fig6","a","95% CI lower, altered samples","-0.423317117197848"
"fig6","a","95% CI upper, altered samples","0.0911106364608487"
"fig6","b","calls kept by QC in the spectrum","86"
"fig6","b","calls removed by QC in the spectrum","49"
"fig6","b","compareSFS chi-squared (kept vs removed)","10.2928312015258"
"fig6","b","compareSFS df","9"
"fig6","b","compareSFS asymptotic p","0.327303219514008"
"fig6","b","smallest expected count","0.725925925925926"
"fig6","b","Monte Carlo p (1e5 tables)","0.332256677433226"
